"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value","sigma"
"6",0.00433164921990976,0.000597355151858003,-7.77556582150403e-05,5.83569393417283e-05,8.20858170996185e-13,0.183025003750649,0.0189936395249373
"7",0.00427961613826979,0.000556883402068134,-0.000121650997022046,5.44031650414735e-05,3.62059794601623e-14,0.0255633067840012,0.0177067906142663
"8",0.00425737664925185,0.000524171444488502,-0.000151745960281922,5.12074619186559e-05,1.33025496637935e-15,0.0031145515204144,0.0166666738119084
"9",0.00424535043221735,0.00049646231954408,-0.000170698047641842,4.85004965253476e-05,4.47004140782915e-17,0.000451657134034812,0.0157856282076161
"10",0.00423459485433963,0.000472348903094521,-0.000183362185242494,4.61448038077208e-05,1.47665959506702e-18,7.5828643124567e-05,0.0150189125639441
"11",0.00422304798701693,0.000451935510498043,-0.000190073747329658,4.41505745626791e-05,5.76123618238076e-20,1.83176079608568e-05,0.0143698437156173
"12",0.00421323786705269,0.000433929780783724,-0.000190708524048145,4.23915552029669e-05,2.28922583169117e-21,7.63072425147742e-06,0.0137973294608838
"13",0.00420401481523107,0.000416729075920282,-0.000188487793916668,4.07111804924974e-05,7.26748419470317e-23,4.13650808539264e-06,0.0132504119583982
"14",0.00419663202531493,0.00040031842463436,-0.000186695263550506,3.91079878546302e-05,1.77548934850315e-24,2.0747094911309e-06,0.0127286151781667
"15",0.00419357168116356,0.000387111876558899,-0.000182245636124726,3.78178111104335e-05,6.0519761740972e-26,1.66414970193546e-06,0.0123086967883547
"16",0.00418529586077268,0.000375635096266622,-0.000176351963099314,3.66966191875521e-05,2.84873583445853e-27,1.77663705183379e-06,0.0119437784862352
"17",0.00417346302074444,0.000364705235101564,-0.000170141370323432,3.56288569977746e-05,1.355501082417e-28,2.05922967538166e-06,0.0115962501483929
"18",0.00416130228545287,0.000355034779881049,-0.000162410125942157,3.4684128946204e-05,7.78825715770634e-30,3.22055871615993e-06,0.0112887661668298
"19",0.00414828393641488,0.000345697823803265,-0.000154581317000712,3.37719811597944e-05,4.18736482604938e-31,5.29972781663561e-06,0.0109918861994436
"20",0.00413308170295407,0.000336121477443966,-0.000146214280759047,3.28364468099746e-05,1.76860405651598e-32,9.4215182827944e-06,0.0106873945245183
"21",0.00411688829474702,0.000326998587246601,-0.000137300098780624,3.19452115905026e-05,7.30891546510488e-34,1.89064050465038e-05,0.0103973210442857
"22",0.00410066554713627,0.000318966463748179,-0.000127657232598273,3.11605357702226e-05,3.8805601862984e-35,4.52592960991429e-05,0.0101419298287345
"23",0.00408249519543754,0.000310407225577257,-0.000117910514438455,3.03243649576025e-05,1.4100292023916e-36,0.00010755365874719,0.00986977835582778
"24",0.00406469974452827,0.00030288450328371,-0.000108016041689054,2.95894536620294e-05,6.70550533682299e-38,0.000275179242525729,0.00963058417620879
"25",0.00404408848347055,0.000295663850228389,-9.82805326216596e-05,2.88840521750809e-05,3.4288197262132e-39,0.000693749300274002,0.00940099465841384
"26",0.00402326862003187,0.000288441145234136,-8.83968207269143e-05,2.81784502297025e-05,1.46064896146694e-40,0.00175614668509501,0.0091713398967045
"27",0.00400556850251639,0.000281575201349924,-7.87500497547393e-05,2.75077010622626e-05,5.49910568438252e-42,0.00428563157384755,0.00895302879194622
"28",0.00398948360252856,0.000274798699793925,-6.90504320356159e-05,2.68456897126952e-05,1.65610283711949e-43,0.0102499315777896,0.00873756161568686
"29",0.00397533645441556,0.000268932796162549,-5.89251607869618e-05,2.62726366782719e-05,6.72381829476977e-45,0.0251241782838929,0.00855104801700802
"30",0.00395960750386836,0.000263480917208278,-4.92995265253753e-05,2.57400306256694e-05,3.28179911659714e-46,0.0557387397148208,0.00837769884061115
"31",0.00394462043099093,0.00025811025837598,-4.00751314752276e-05,2.52153591455178e-05,1.39731471115031e-47,0.112303023504628,0.0082069321575838
"32",0.00393075485389679,0.000253207835154834,-3.12835910391786e-05,2.47364306326322e-05,6.82540617863641e-49,0.206279509193826,0.00805105359995941
"33",0.00391749281095603,0.000248862026197708,-2.27685383555958e-05,2.43118789920999e-05,4.35693899952556e-50,0.349230313679802,0.00791287327537503
"34",0.00390380102267942,0.00024452928059337,-1.49901678154281e-05,2.38886035392491e-05,2.5457167944439e-51,0.53047175705443,0.0077751083161107
"35",0.00388990725117489,0.000240340608881089,-7.8148963723226e-06,2.34794029819663e-05,1.5007030065778e-52,0.739323890498919,0.00764192436290644
"36",0.00387703880706719,0.000236648067093941,-6.76745321428824e-07,2.31186704488674e-05,1.15506266627711e-53,0.976652914398119,0.00752451546902194
"37",0.00386415862759701,0.000233206579269505,6.45643828423321e-06,2.27824639298624e-05,1.01667209495865e-54,0.776932188366914,0.00741508914372203
"38",0.00385057710604921,0.000229786163234629,1.28435379679358e-05,2.24483159603507e-05,8.69599812576249e-56,0.567355955672848,0.00730633282180921
"39",0.00383806925375591,0.000226234859229614,1.85060157574105e-05,2.21013812570003e-05,5.60439569892547e-57,0.402608978645791,0.00719341475639216
"40",0.00382759202869071,0.000222819201419102,2.41154446615521e-05,2.17676981288977e-05,3.3046542824073e-58,0.268188890376557,0.00708480972805748
"41",0.00381753056022972,0.000219456826642129,2.93786001536841e-05,2.14392203375977e-05,1.80455113097916e-59,0.170892016389417,0.00697789889910936
"42",0.00380956378982462,0.000216638899928064,3.48314763051903e-05,2.11639308756912e-05,1.40777052275273e-60,0.100117863476376,0.00688829946391882
"43",0.00380043441621389,0.000213708493434629,3.96425048429684e-05,2.08776530166117e-05,9.59110746540282e-62,0.05787601244745,0.00679512359622148
"44",0.00379166036097724,0.000210287464789327,4.32260661133341e-05,2.05434451998394e-05,3.28572457051375e-63,0.0356143454721155,0.006686347795609
"45",0.0037862657278301,0.000207002873475092,4.6675119588427e-05,2.02225662461867e-05,9.26071842682345e-65,0.0211968973718268,0.00658191018723603
"46",0.00378385679296148,0.000204018019914426,4.96689164870228e-05,1.99309693332917e-05,2.69944498737336e-66,0.0128606535526919,0.00648700310827357
"47",0.0037832620967847,0.000201412721148634,5.21813855362656e-05,1.9676451963567e-05,9.99540717288678e-68,0.00812797990795396,0.00640416443942087
"48",0.00378309720322309,0.000199100172461539,5.4926454101346e-05,1.94505339932643e-05,4.77742529684856e-69,0.00483772709481139,0.00633063411828791
"49",0.00378196129284052,0.000196837267446215,5.76488912226669e-05,1.92294658225042e-05,2.39956161026375e-70,0.00278472169657363,0.00625868227857153
"50",0.00378138090185908,0.000194541397569995,5.99089397708005e-05,1.90051772419398e-05,1.01429697295274e-71,0.00166805465602983,0.00618568228068174
"51",0.00378197112152199,0.000192439836227329,6.22471100785535e-05,1.87998710896193e-05,4.75582993212156e-73,0.000962478600800924,0.00611886056087574
"52",0.0037830894765372,0.000190561212098441,6.46001084124541e-05,1.86163441643145e-05,2.7514906575499e-74,0.00054234387871835,0.00605912740314541
"53",0.00378338773287743,0.000188905518743285,6.71436344220041e-05,1.84545958368834e-05,2.22057668335209e-75,0.000288340246786414,0.00600648260272165
"54",0.00378295508781415,0.000187743585131177,7.06555359192953e-05,1.83410839853325e-05,3.861181295331e-76,0.0001243984770361,0.00596953749877195
"55",0.00377924664814939,0.000186265980073419,7.34933845224104e-05,1.81967334955805e-05,5.13315914658804e-77,5.77971125188892e-05,0.00592255523413428
"56",0.00377554043914462,0.000184682456204907,7.57406852250602e-05,1.80420355641179e-05,5.54209549099824e-78,2.93051277385627e-05,0.00587220515103194
"57",0.00377227175311618,0.000183409277989834,7.82198309442561e-05,1.79176559824952e-05,9.16294486476935e-79,1.39901552733835e-05,0.0058317228885238
"58",0.00376765996618127,0.000181931094550777,7.99788569843801e-05,1.77732489894013e-05,1.16616351067065e-79,7.58797405287727e-06,0.00578472223354352
"59",0.00376249652739899,0.000180419256525613,8.13944332121721e-05,1.76255542057293e-05,1.40939660299942e-80,4.37563800466189e-06,0.00573665148973099
"60",0.00375780280931326,0.000178863702726767,8.27198225783402e-05,1.74735887319242e-05,1.45841901221124e-81,2.51603526169637e-06,0.00568719074929035
"61",0.00375312559611066,0.000177177429464335,8.37507038359235e-05,1.73088529860564e-05,1.14377726305833e-82,1.51182198441625e-06,0.00563357362321795
"62",0.00374841305058036,0.000175371309640696,8.51583468354348e-05,1.71324091658864e-05,6.852835648822e-84,7.83968964095675e-07,0.00557614582877716
"63",0.0037432645423792,0.000173316637999579,8.64667955161373e-05,1.6931683771697e-05,2.51876474514437e-85,3.91649653535935e-07,0.00551081502452763
"64",0.00374002708347205,0.000171516615791201,8.84228127928148e-05,1.67558356409805e-05,1.15776304625389e-86,1.60640978114834e-07,0.00545358111124092
"65",0.00373687144842191,0.00016974341905388,9.07030080794494e-05,1.65826081495644e-05,5.15701972015919e-88,5.68369876765099e-08,0.00539720014669959
"66",0.00373363260469476,0.000167964012574753,9.31520550972991e-05,1.64087740148061e-05,2.1180302546878e-89,1.79202855705075e-08,0.00534062173580324
"67",0.00372975839836018,0.000166108696105017,9.57432410911051e-05,1.62275240660155e-05,7.29813649122258e-91,4.95732440927826e-09,0.00528162967367534
"68",0.00372577197639934,0.000164440481117928,9.86460642098245e-05,1.60645524728054e-05,3.43191297659151e-92,1.18095075615171e-09,0.00522858673261034
"69",0.0037201142196654,0.000162679321743823,0.000101185175995086,1.58925009378918e-05,1.44017083910825e-93,2.92619747797353e-10,0.00517258851079261
"70",0.00371464718929262,0.000160916713432658,0.000103361989788937,1.57203078531281e-05,5.46877062492866e-95,7.79277218768907e-11,0.00511654421824435
"71",0.00371003321368523,0.000159224491088124,0.000105593848990326,1.5554990928338e-05,2.06197644763778e-96,1.93239989687874e-11,0.00506273793381181
"72",0.00370590312227027,0.000157610985825205,0.000107709033440547,1.53973640484779e-05,8.19173147979727e-98,4.81767827057158e-12,0.00501143455551139
"73",0.00370161975068497,0.000156018597147211,0.000109334352814617,1.52418000942689e-05,3.21741233918715e-99,1.41602662766327e-12,0.00496080260492163
"74",0.00369703515403982,0.000154449059147429,0.000110523017692071,1.50884684731003e-05,1.27489997968188e-100,4.88535792420643e-13,0.00491089721966494
"75",0.00369207483105866,0.000152971731546804,0.000111310423205074,1.49441450887461e-05,6.08724164036425e-102,2.02591851352406e-13,0.00486392377711701
"76",0.00368696524213708,0.000151364589714529,0.000111438324786656,1.47871398664292e-05,2.00448641695101e-103,1.07536147964848e-13,0.0048128227318967
"77",0.00368366196730281,0.0001499388313979,0.000110897928102013,1.46478543989135e-05,7.98880157358051e-105,8.35181525103276e-14,0.00476748899796724
"78",0.00368125608592954,0.000148768766954565,0.000109710710524829,1.4533548228567e-05,5.22285268049656e-106,9.81165487308416e-14,0.00473028536426869
"79",0.00367867019987865,0.000147696394582611,0.00010811424502848,1.44287858116578e-05,4.27771833166341e-107,1.47019036840746e-13,0.0046961879697689
"80",0.00367727693284905,0.000146801586910127,0.000106306566343286,1.43413700809936e-05,4.7427773629654e-108,2.61949806535618e-13,0.00466773646261699
"81",0.00367508779313045,0.000145936096349842,0.000104334342579131,1.42568184035362e-05,6.00577959056846e-109,5.12593186468889e-13,0.00464021712899584
"82",0.00367330708991487,0.000145161685031902,0.00010240158519236,1.41811644576951e-05,9.06356925065455e-110,1.01584091057776e-12,0.00461559377156561
