"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value"
"103",-0.279439522434906,0.0231647322658648,-0.00614797540379834,0.0012782513367577,3.58102633751385e-32,1.64954440504141e-06
"104",-0.283330278092365,0.0232760370319427,-0.00611497336283512,0.0012841518699011,1.0525380803165e-32,2.08610514570451e-06
"105",-0.2867219538759,0.0233780710217832,-0.00611191499100901,0.00128954212548845,3.73845386612102e-33,2.32571610969251e-06
"106",-0.28949161753423,0.023479761293509,-0.00614512703286654,0.00129492189555358,1.7959230305033e-33,2.25931041305688e-06
"107",-0.291578844952141,0.0235813408221765,-0.00621758826512572,0.00130029937597963,1.20300347469074e-33,1.89374812429655e-06
"108",-0.292695765526776,0.0236792871908894,-0.00634482872160335,0.00130549421341794,1.2611681261032e-33,1.28513477463837e-06
"109",-0.293264192839219,0.02377736335937,-0.0065091431930835,0.0013107013690256,1.71931788205565e-33,7.53990823364775e-07
"110",-0.293567408775742,0.0238737794594294,-0.00669267242564009,0.00131581958207686,2.62466232871331e-33,4.06946927571848e-07
"111",-0.293687158668833,0.0239646372333099,-0.00688846407529378,0.00132063874520884,4.21190048976322e-33,2.06053772566185e-07
"112",-0.293724998960138,0.0240520048577096,-0.00708828236732759,0.00132528387250944,6.85090982509101e-33,1.01183777664716e-07
"113",-0.293161637284653,0.0241484941045966,-0.00732906314353199,0.00133043515453399,1.5439720731674e-32,4.18907169605467e-08
"114",-0.292336071797253,0.0242572433346554,-0.00759647812529623,0.00133625307824206,4.1580485729392e-32,1.54668929996674e-08
"115",-0.291743971910981,0.0243669393676393,-0.00785232749652423,0.0013421099171217,9.97328277242029e-32,5.89879518571366e-09
"116",-0.291091854944806,0.0244701563207815,-0.00811132273407203,0.00134762077564415,2.34420052681447e-31,2.16185176320508e-09
"117",-0.290231988378545,0.024576576985554,-0.00838661465966078,0.00135329853922383,6.07610963884315e-31,7.26121930005402e-10
