,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
83,0.000100123,0.001054095,1.41E-05,0.000559308,2.38E-12,0.059766015
84,9.82E-05,0.001062946,1.40E-05,0.000556274,4.69E-12,0.056309525
85,9.66E-05,0.001080057,1.39E-05,0.00055288,7.50E-12,0.051035455
86,9.54E-05,0.001097134,1.39E-05,0.000549811,1.07E-11,0.046260115
87,9.45E-05,0.001106757,1.38E-05,0.000546669,1.26E-11,0.043176998
88,9.37E-05,0.001104644,1.37E-05,0.000543332,1.38E-11,0.042304702
89,9.30E-05,0.001098906,1.36E-05,0.000540156,1.47E-11,0.042170296
90,9.22E-05,0.001094494,1.36E-05,0.000537328,1.74E-11,0.041919043
91,9.12E-05,0.001093351,1.35E-05,0.000534603,2.30E-11,0.041098023
92,8.99E-05,0.001083187,1.34E-05,0.000532157,3.49E-11,0.042065206
93,8.83E-05,0.001065031,1.34E-05,0.000529827,6.28E-11,0.044681708
94,8.69E-05,0.001051356,1.33E-05,0.000527519,1.05E-10,0.04652847
95,8.52E-05,0.001034454,1.32E-05,0.000525308,1.94E-10,0.049199849
96,8.32E-05,0.001010893,1.32E-05,0.000523504,4.29E-10,0.053761402
97,8.15E-05,0.000984685,1.31E-05,0.000521377,8.45E-10,0.059228973
98,7.94E-05,0.000949368,1.31E-05,0.000518966,1.83E-09,0.067642854
99,7.72E-05,0.0009146,1.30E-05,0.000516266,4.19E-09,0.076768349
100,7.52E-05,0.000883265,1.30E-05,0.000513618,8.77E-09,0.085795347
101,7.30E-05,0.000845184,1.29E-05,0.00051122,1.91E-08,0.09858747
102,7.11E-05,0.000816469,1.28E-05,0.000508898,3.89E-08,0.108941707
103,6.96E-05,0.000802924,1.28E-05,0.000506353,6.34E-08,0.113121148
104,6.85E-05,0.00080142,1.27E-05,0.000503644,8.80E-08,0.111868763
105,6.78E-05,0.000809543,1.26E-05,0.000501077,1.01E-07,0.106492201
106,6.74E-05,0.000827174,1.26E-05,0.000498338,1.01E-07,0.09725253
